product_name,brands,categories,energy_kj,saturated_fat_g,sugars_g,salt_g,proteins_g,fiber_g,fruit_veg_pct,nutri_score_value,nutri_score_label,green_score_value,ecoscore_grade,url,wsm_score,wsm_class
Pain de mie grandes tranches Seigle & Graines 500g,la Boulangère,Pains de mie,1246.0,1.0,4.2,0.96,12.0,7.2,0.48,0,A,83,A,https://world.openfoodfacts.org/product/3760049798609,81.111,A
14 Maxi Tranches complet sans sucres ajoutés,Jacquet,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pains,Pains de mie,Pains complets,Pains de mie complet",1026.0,0.3,3.8,1.2,8.7,6.6,0.0,2,B,83,A,https://world.openfoodfacts.org/product/3029330022428,78.889,A
pain de mie grandes tranches spécial sandwich complet,"Lidl,Maître Jean Pierre","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie,Pains complets,Pains de mie complet",1089.0,0.5,5.0,1.0,8.3,6.3,0.0,2,B,74,B,https://world.openfoodfacts.org/product/4056489007180,73.889,B
Harrys brioche tressee nature au sucre perle sans additifs 500g,Harrys,"Snacks, Snacks sucrés, Viennoiseries, Brioches, Brioches tressées, Brioches pur beurre, Brioches natures, Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pains, en:Packaged breads",1496.0,1.0,13.0,0.8,8.6,4.5,0.0,5,C,47,C,https://world.openfoodfacts.org/product/3228857001231,65.556,C
100% mie complet 500g,Harry's,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pains,Pains de mie,Pains de mie sans croûte,Pains complets,Pains de mie complet",1053.0,0.4,5.5,1.1,7.5,6.5,0.040277778,2,B,85,A,https://world.openfoodfacts.org/product/3228857000166,78.889,A
Biscottes 6 Céréales,Heudebert,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks,Multigrain rusks",1698.0,2.4,3.4,1.6,13.0,5.0,0.0,12,D,77,A,https://world.openfoodfacts.org/product/3392460480827,73.333,B
Pain grillé au blé complet,LU Pelletier,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Breads,Rusks,Toasts",1636.0,2.1,2.6,1.8,12.0,5.1,0.0,12,D,70,B,https://world.openfoodfacts.org/product/3017760542890,67.222,C
Classic Torinesi Breadsticks,Crosta & Mollica,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Breadsticks",1700.0,1.0,2.8,2.1,19.8,1.2,0.0,15,D,85,A,https://world.openfoodfacts.org/product/5060198640261,72.222,B
Pain de mie grandes tranches Toastiligne complet,la boulangère,"Pains de mie complet, en:Packaged breads",953.0,0.9,2.8,0.98,10.0,6.2,0.0,-1,A,74,B,https://world.openfoodfacts.org/product/3760049790252,77.222,B
Wholemeal Bread,Warburtons,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Wholemeal breads",950.0,0.42,2.52,0.945,10.5,6.3,0.0,-1,A,67,B,https://world.openfoodfacts.org/product/5010044000404,77.222,B
6 Wraps blé complet,Old El Paso,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains plats, Pains blancs, Pains de blé, Tortillas de blé",1240.0,1.03,2.24,1.05,9.14,5.17,0.0,4,C,78,A,https://world.openfoodfacts.org/product/8410076470812,76.667,B
Seeded Batch,Warburtons,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,Multigrain sliced breads",1231.0,1.3,2.6,0.95,10.6,6.0,0.0,1,B,68,B,https://world.openfoodfacts.org/product/5010044002552,75.0,B
Pain de mie american sandwich complet sans sucres ajoutés 600g,Harrys,Pains de mie complet,1178.0,0.5,3.6,1.1,7.7,8.1,0.919628906,1,B,74,B,https://world.openfoodfacts.org/product/3228857002344,75.0,B
